TeamName,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
Arizona,2020,0.5,5.0,10.0,1.0,0.344,361.0,442.0,-81.0,-5.1,1.8,-3.2,-0.3,-2.9,16.0,361.0,5467.0,1000.0,5.5,18.0,6.0,314.0,355.0,554.0,3477.0,20.0,12.0,5.8,176.0,396.0,1990.0,18.0,5.0,109.0,121.0,956.0,29.0,38.8,10.1,64.36,16.0,355.0,554.0,64.1,3477.0,20.0,3.6,12.0,2.2,88.0,6.9,6.6,10.7,217.3,87.0,50.0,320.0,5.8,5.5,8.3,1.0,2.0,35.16,16.0,396.0,1990.0,18.0,80.0,5.0,124.4,9.0,35.92,16.0,24.0,168.0,0.0,29.0,7.0,36.0,764.0,0.0,39.0,21.2,6813.0,16.0,0,0,12.0,12.0,13.0,12.0,8.0,5.0,2.0,2.0,35.0,31.0,54.0,88.6,35.0,34.0,97.1,83.0,5241.0,45.0,54.2,63.1,70.0,3288.0,64.0,1.0,47.0,16.0,18.0,20.0,0,0,0,0,0,38.0,3.0,3.0,34.0,35.0,31.0,35.0,0,361.0,22.6,16.0,197.0,71.0,36.0,20.0,13.0,65.0,53.0,24.0,45.3,16.0,178.0,1035.0,38.8,10.1,5.8,30.6,27.7,149,2.02,0,16.0,442.0,6432.0,1080.0,6.0,17.0,10.0,375.0,421.0,601.0,4510.0,38.0,7.0,7.0,243.0,439.0,1922.0,9.0,4.4,94.0,114.0,1041.0,38.0,43.0,9.3,-173.55,0,16.0,32.0,27.0,84.4,50.0,49.0,98.0,58.0,2523.0,0.0,43.5,0,16.0,9.0,38.0,1.0,0,1.0,2.0,1.0,51.0,0,1.0,49.0,50.0,27.0,32.0,0,442.0,27.6,0,16.0,214.0,100.0,46.7,14.0,3.0,21.4,62.0,37.0,59.7,0,16.0,172.0,1112.0,43.0,9.3,6.5,37.4,27.5,184,2.38
Atlanta,2020,0.25,7.0,9.0,0.0,0.438,381.0,399.0,-18.0,-1.1,1.1,-0.1,0.3,-0.4,16.0,381.0,6075.0,1096.0,5.5,25.0,10.0,383.0,459.0,684.0,4714.0,29.0,15.0,6.4,258.0,362.0,1361.0,10.0,3.8,84.0,119.0,956.0,41.0,40.8,13.2,95.51,16.0,459.0,684.0,67.1,4714.0,29.0,4.2,15.0,2.2,93.0,7.4,7.2,11.0,294.6,93.8,50.0,335.0,6.4,6.3,6.8,3.0,2.0,129.42,16.0,362.0,1361.0,10.0,28.0,3.8,85.1,21.0,-23.14,16.0,37.0,263.0,1.0,78.0,7.1,25.0,571.0,0.0,47.0,22.8,7382.0,16.0,0,0,7.0,7.0,14.0,12.0,12.0,10.0,7.0,3.0,40.0,32.0,52.0,80.0,31.0,29.0,93.5,87.0,5114.0,47.0,54.0,58.8,53.0,2210.0,60.0,1.0,41.7,16.0,10.0,29.0,1.0,0,1.0,1.0,0,42.0,2.0,9.0,29.0,31.0,32.0,40.0,0,381.0,23.8,16.0,207.0,87.0,42.0,21.0,13.0,61.9,60.0,31.0,51.7,16.0,174.0,1136.0,40.8,13.2,6.5,34.9,28.7,171,2.12,0,16.0,399.0,5693.0,985.0,5.8,20.0,8.0,330.0,351.0,536.0,3918.0,28.0,12.0,6.9,192.0,421.0,1775.0,13.0,4.2,108.0,127.0,1080.0,30.0,42.5,9.0,-98.34,0,16.0,34.0,30.0,88.2,41.0,35.0,85.4,58.0,2710.0,0.0,46.7,0,16.0,13.0,28.0,0,0,3.0,1.0,0,45.0,2.0,4.0,35.0,41.0,30.0,34.0,0,399.0,24.9,0,16.0,193.0,77.0,39.9,20.0,12.0,60.0,53.0,31.0,58.5,0,16.0,167.0,1019.0,42.5,9.0,6.1,34.1,28.8,167,2.26
Baltimore,2020,0.688,14.0,2.0,0.0,0.875,531.0,282.0,249.0,15.6,0.1,15.6,11.0,4.7,16.0,531.0,6521.0,1064.0,6.1,15.0,7.0,386.0,289.0,440.0,3225.0,37.0,8.0,6.9,171.0,596.0,3296.0,21.0,5.5,188.0,109.0,867.0,27.0,51.8,8.4,239.99,16.0,289.0,440.0,65.7,3225.0,37.0,8.4,8.0,1.8,83.0,7.6,8.5,11.6,201.6,109.0,28.0,125.0,6.9,7.7,6.0,1.0,2.0,149.06,16.0,596.0,3296.0,21.0,63.0,5.5,206.0,18.0,100.56,16.0,25.0,206.0,0.0,25.0,8.2,27.0,493.0,0.0,46.0,18.3,7733.0,16.0,0,0,8.0,8.0,9.0,9.0,11.0,10.0,1.0,1.0,29.0,28.0,51.0,96.6,59.0,57.0,96.6,106.0,6646.0,57.0,53.8,62.7,41.0,1855.0,62.0,1.0,45.2,16.0,21.0,37.0,0,0,4.0,2.0,0,64.0,2.0,5.0,57.0,59.0,28.0,29.0,1.0,531.0,33.2,16.0,187.0,88.0,47.1,24.0,17.0,70.8,64.0,43.0,67.2,16.0,166.0,1093.0,51.8,8.4,6.6,39.3,29.1,201,2.95,0,16.0,282.0,4809.0,921.0,5.2,25.0,12.0,276.0,318.0,544.0,3315.0,15.0,13.0,5.7,163.0,340.0,1494.0,12.0,4.4,74.0,97.0,795.0,39.0,32.5,14.5,21.61,0,16.0,31.0,27.0,87.1,24.0,21.0,87.5,64.0,2990.0,0.0,46.7,0,16.0,12.0,15.0,0,1.0,0,0,1.0,28.0,3.0,5.0,21.0,24.0,27.0,31.0,0,282.0,17.6,0,16.0,194.0,72.0,37.1,18.0,6.0,33.3,44.0,21.0,47.7,0,16.0,166.0,952.0,32.5,14.5,5.7,28.8,27.3,147,1.63
Buffalo,2020,0.813,10.0,6.0,0.0,0.625,314.0,259.0,55.0,3.4,-1.3,2.2,-3.5,5.7,16.0,314.0,5283.0,1018.0,5.2,19.0,7.0,314.0,299.0,513.0,3229.0,21.0,12.0,5.8,162.0,465.0,2054.0,13.0,4.4,120.0,117.0,927.0,32.0,30.1,10.2,6.66,16.0,299.0,513.0,58.3,3229.0,21.0,4.1,12.0,2.3,53.0,6.8,6.5,11.6,201.8,82.8,40.0,247.0,5.8,5.6,7.2,4.0,5.0,14.89,16.0,465.0,2054.0,13.0,41.0,4.4,128.4,23.0,1.29,16.0,32.0,243.0,0.0,22.0,7.6,32.0,802.0,1.0,66.0,25.1,6678.0,16.0,0,0,5.0,5.0,8.0,7.0,10.0,9.0,5.0,1.0,28.0,22.0,51.0,78.6,32.0,30.0,93.8,74.0,4579.0,42.0,56.8,61.9,80.0,3313.0,67.0,1.0,41.4,16.0,13.0,21.0,0,1.0,0,0,0,35.0,3.0,3.0,30.0,32.0,22.0,28.0,1.0,314.0,19.6,16.0,212.0,76.0,35.8,18.0,8.0,44.4,44.0,25.0,56.8,16.0,186.0,1046.0,30.1,10.2,5.6,28.5,28.9,155,1.63,0,16.0,259.0,4772.0,985.0,4.8,23.0,9.0,295.0,348.0,553.0,3123.0,15.0,14.0,5.2,169.0,388.0,1649.0,12.0,4.3,93.0,94.0,815.0,33.0,23.6,12.1,48.85,0,16.0,26.0,16.0,61.5,25.0,21.0,84.0,84.0,3751.0,0.0,44.7,0,16.0,12.0,15.0,0,1.0,0,1.0,1.0,29.0,4.0,5.0,21.0,25.0,16.0,26.0,1.0,259.0,16.2,0,16.0,212.0,76.0,35.8,21.0,8.0,38.1,43.0,24.0,55.8,0,16.0,182.0,1011.0,23.6,12.1,5.6,26.1,28.2,158,1.3
Carolina,2020,0.313,5.0,11.0,0.0,0.313,340.0,470.0,-130.0,-8.1,1.1,-7.0,-1.9,-5.1,16.0,340.0,5469.0,1077.0,5.1,35.0,14.0,335.0,382.0,633.0,3650.0,17.0,21.0,5.3,230.0,386.0,1819.0,20.0,4.7,82.0,87.0,754.0,23.0,32.3,16.7,-28.07,16.0,382.0,633.0,60.3,3650.0,17.0,2.7,21.0,3.3,52.0,6.5,5.6,10.8,228.1,74.7,58.0,484.0,5.3,4.4,8.4,0.0,1.0,-12.64,16.0,386.0,1819.0,20.0,84.0,4.7,113.7,25.0,-8.21,16.0,25.0,171.0,0.0,39.0,6.8,31.0,677.0,0.0,36.0,21.8,7003.0,16.0,0,0,5.0,4.0,5.0,5.0,11.0,8.0,11.0,8.0,32.0,25.0,55.0,78.1,35.0,31.0,88.6,76.0,4658.0,66.0,86.8,61.3,75.0,3452.0,62.0,0.0,46.0,16.0,20.0,17.0,0,0,1.0,0,0,38.0,1.0,3.0,31.0,35.0,25.0,32.0,2.0,340.0,21.3,16.0,207.0,66.0,31.9,24.0,12.0,50.0,50.0,29.0,58.0,16.0,192.0,1108.0,32.3,16.7,5.8,28.5,29.0,145,1.74,0,16.0,470.0,5992.0,1042.0,5.8,21.0,7.0,355.0,347.0,544.0,3696.0,21.0,14.0,6.2,197.0,445.0,2296.0,31.0,5.2,128.0,109.0,940.0,30.0,40.1,10.2,-109.88,0,16.0,35.0,27.0,77.1,50.0,49.0,98.0,68.0,3099.0,1.0,45.6,0,16.0,31.0,21.0,3.0,0,0,1.0,0,56.0,2.0,6.0,49.0,50.0,27.0,35.0,0,470.0,29.4,0,16.0,193.0,77.0,39.9,9.0,6.0,66.7,64.0,41.0,64.1,0,16.0,197.0,1077.0,40.1,10.2,5.5,30.4,30.0,152,2.26
Chicago,2020,0.5,8.0,8.0,0.0,0.5,280.0,298.0,-18.0,-1.1,0.2,-0.9,-5.4,4.5,16.0,280.0,4749.0,1020.0,4.7,19.0,7.0,297.0,371.0,580.0,3291.0,20.0,12.0,5.3,178.0,395.0,1458.0,8.0,3.7,85.0,103.0,838.0,34.0,29.1,10.3,-41.05,16.0,371.0,580.0,64.0,3291.0,20.0,3.4,12.0,2.1,53.0,6.2,5.9,9.6,205.7,83.9,45.0,282.0,5.3,5.0,7.2,3.0,3.0,9.95,16.0,395.0,1458.0,8.0,55.0,3.7,91.1,13.0,-44.55,16.0,33.0,302.0,0.0,71.0,9.2,34.0,903.0,1.0,102.0,26.6,6405.0,16.0,1.0,1.0,8.0,8.0,10.0,9.0,7.0,3.0,2.0,2.0,28.0,23.0,53.0,82.1,29.0,27.0,93.1,67.0,4103.0,36.0,53.7,61.2,81.0,3586.0,75.0,1.0,44.3,16.0,8.0,20.0,0,1.0,0,1.0,0,30.0,1.0,1.0,27.0,29.0,23.0,28.0,1.0,280.0,17.5,16.0,216.0,77.0,35.6,21.0,7.0,33.3,46.0,24.0,52.2,16.0,175.0,1048.0,29.1,10.3,6.0,27.2,28.5,166,1.51,0,16.0,298.0,5186.0,1017.0,5.1,19.0,9.0,306.0,362.0,571.0,3554.0,17.0,10.0,5.9,190.0,414.0,1632.0,16.0,3.9,86.0,113.0,923.0,30.0,30.9,10.5,0.85,0,16.0,30.0,23.0,76.7,29.0,27.0,93.1,75.0,3443.0,0.0,45.9,0,16.0,16.0,17.0,0,0,0,0,0,33.0,1.0,4.0,27.0,29.0,23.0,30.0,1.0,298.0,18.6,0,16.0,209.0,76.0,36.4,23.0,13.0,56.5,53.0,29.0,54.7,0,16.0,181.0,1047.0,30.9,10.5,5.8,28.5,36.0,158,1.66
Cincinnati,2020,0.281,2.0,14.0,0.0,0.125,279.0,420.0,-141.0,-8.8,1.5,-7.3,-4.4,-2.9,16.0,279.0,5169.0,1049.0,4.9,30.0,14.0,312.0,356.0,616.0,3652.0,18.0,16.0,5.5,191.0,385.0,1517.0,9.0,3.9,85.0,93.0,761.0,36.0,29.8,15.5,-60.73,16.0,356.0,616.0,57.8,3652.0,18.0,2.9,16.0,2.6,66.0,6.5,5.9,11.2,228.3,76.2,48.0,342.0,5.5,5.0,7.2,0,0,-25.99,16.0,385.0,1517.0,9.0,41.0,3.9,94.8,25.0,-25.52,16.0,29.0,164.0,0.0,17.0,5.7,42.0,1091.0,1.0,92.0,26.0,6955.0,16.0,0,0,10.0,10.0,6.0,6.0,12.0,10.0,3.0,1.0,31.0,27.0,57.0,87.1,25.0,24.0,96.0,71.0,4269.0,46.0,64.8,60.1,75.0,3394.0,63.0,0.0,45.3,16.0,9.0,18.0,0,1.0,0,0,0,28.0,2.0,3.0,24.0,25.0,27.0,31.0,1.0,279.0,17.4,16.0,222.0,80.0,36.0,26.0,13.0,50.0,48.0,21.0,43.8,16.0,181.0,1080.0,29.8,15.5,6.0,28.5,28.0,157,1.49,0,16.0,420.0,6299.0,1034.0,6.1,16.0,5.0,328.0,308.0,499.0,3917.0,25.0,11.0,7.4,183.0,504.0,2382.0,17.0,4.7,124.0,122.0,988.0,21.0,39.3,8.7,-130.66,0,16.0,34.0,30.0,88.2,45.0,44.0,97.8,69.0,3073.0,0.0,44.5,0,16.0,17.0,25.0,0,0,1.0,4.0,0,47.0,2.0,2.0,44.0,45.0,30.0,34.0,0,420.0,26.3,0,16.0,209.0,89.0,42.6,10.0,5.0,50.0,51.0,25.0,49.0,0,16.0,183.0,1068.0,39.3,8.7,5.8,34.4,27.8,163,2.1
Cleveland,2020,0.688,6.0,10.0,0.0,0.375,335.0,393.0,-58.0,-3.6,1.7,-1.9,-0.4,-1.5,16.0,335.0,5455.0,973.0,5.6,28.0,7.0,305.0,318.0,539.0,3554.0,22.0,21.0,6.1,180.0,393.0,1901.0,15.0,4.8,90.0,122.0,1106.0,35.0,33.9,14.8,13.54,16.0,318.0,539.0,59.0,3554.0,22.0,4.1,21.0,3.9,89.0,7.1,6.2,12.1,222.1,78.4,41.0,293.0,6.1,5.3,7.1,1.0,1.0,31.79,16.0,393.0,1901.0,15.0,88.0,4.8,118.8,14.0,-8.57,16.0,23.0,163.0,0.0,18.0,7.1,38.0,830.0,0.0,74.0,21.8,6965.0,16.0,0,0,6.0,6.0,9.0,9.0,12.0,9.0,2.0,1.0,29.0,25.0,53.0,86.2,35.0,30.0,85.7,79.0,4903.0,30.0,38.0,62.1,65.0,2950.0,71.0,1.0,45.4,16.0,15.0,22.0,0,0,0,1.0,0,38.0,1.0,3.0,30.0,35.0,25.0,29.0,0,335.0,20.9,16.0,196.0,71.0,36.2,17.0,7.0,41.2,50.0,29.0,58.0,16.0,183.0,1002.0,33.9,14.8,5.5,29.7,29.3,156,1.83,0,16.0,393.0,5785.0,1014.0,5.7,20.0,6.0,345.0,318.0,513.0,3470.0,25.0,14.0,6.3,184.0,463.0,2315.0,19.0,5.0,124.0,107.0,836.0,37.0,36.8,11.0,-88.15,0,16.0,32.0,23.0,71.9,44.0,42.0,95.5,61.0,2777.0,0.0,45.5,0,16.0,19.0,25.0,0,0,1.0,1.0,0,46.0,1.0,2.0,42.0,44.0,23.0,32.0,2.0,393.0,24.6,0,16.0,195.0,74.0,37.9,17.0,6.0,35.3,57.0,35.0,61.4,0,16.0,182.0,1046.0,36.8,11.0,5.7,31.7,28.0,160,2.07
Dallas,2020,0.375,8.0,8.0,0.0,0.5,434.0,321.0,113.0,7.1,-1.8,5.3,3.8,1.5,16.0,434.0,6904.0,1069.0,6.5,18.0,7.0,379.0,388.0,597.0,4751.0,30.0,11.0,7.7,229.0,449.0,2153.0,18.0,4.8,120.0,109.0,1008.0,30.0,44.6,10.3,210.77,16.0,388.0,597.0,65.0,4751.0,30.0,5.0,11.0,1.8,62.0,8.2,8.4,12.6,296.9,99.5,23.0,151.0,7.7,7.8,3.7,0,0,179.23,16.0,449.0,2153.0,18.0,44.0,4.8,134.6,15.0,37.08,16.0,23.0,131.0,0.0,15.0,5.7,20.0,325.0,0.0,30.0,16.3,7667.0,16.0,0,0,10.0,10.0,9.0,7.0,12.0,8.0,9.0,5.0,40.0,30.0,63.0,75.0,46.0,46.0,100.0,92.0,5545.0,51.0,55.4,60.3,51.0,2079.0,58.0,1.0,40.8,16.0,18.0,30.0,0,0,1.0,0,0,49.0,2.0,3.0,46.0,46.0,30.0,40.0,0,434.0,27.1,16.0,204.0,96.0,47.1,16.0,7.0,43.8,54.0,31.0,57.4,16.0,175.0,1109.0,44.6,10.3,6.3,39.4,26.3,162,2.43,0,16.0,321.0,5232.0,1015.0,5.2,17.0,10.0,327.0,370.0,569.0,3576.0,21.0,7.0,5.9,188.0,407.0,1656.0,14.0,4.1,101.0,102.0,855.0,38.0,35.3,9.8,-31.81,0,16.0,32.0,26.0,81.3,31.0,29.0,93.5,69.0,3188.0,0.0,46.2,0,16.0,14.0,21.0,0,0,0,0,0,35.0,2.0,4.0,29.0,31.0,26.0,32.0,0,321.0,20.1,0,16.0,201.0,67.0,33.3,22.0,10.0,45.5,57.0,29.0,50.9,0,16.0,173.0,1047.0,35.3,9.8,6.1,30.2,30.2,169,1.87
Denver,2020,0.313,7.0,9.0,0.0,0.438,282.0,316.0,-34.0,-2.1,0.0,-2.1,-4.8,2.7,16.0,282.0,4777.0,954.0,5.0,16.0,6.0,279.0,312.0,504.0,3115.0,16.0,10.0,5.7,162.0,409.0,1662.0,11.0,4.1,77.0,110.0,912.0,40.0,32.4,9.2,-14.61,16.0,312.0,504.0,61.9,3115.0,16.0,3.2,10.0,2.0,75.0,6.7,6.5,10.9,194.7,84.1,41.0,286.0,5.7,5.5,7.5,1.0,2.0,12.57,16.0,409.0,1662.0,11.0,40.0,4.1,103.9,21.0,-17.2,16.0,27.0,208.0,0.0,42.0,7.7,21.0,534.0,0.0,60.0,25.4,5968.0,16.0,0,0,6.0,6.0,9.0,9.0,12.0,10.0,7.0,4.0,34.0,29.0,53.0,85.3,26.0,25.0,96.2,72.0,4634.0,55.0,76.4,64.4,78.0,3464.0,64.0,0.0,44.4,16.0,11.0,16.0,0,0,1.0,0,0,28.0,1.0,2.0,25.0,26.0,29.0,34.0,0,282.0,17.6,16.0,202.0,64.0,31.7,16.0,11.0,68.8,42.0,20.0,47.6,16.0,173.0,988.0,32.4,9.2,5.7,27.6,27.6,163,1.6,0,16.0,316.0,5392.0,1003.0,5.4,17.0,7.0,305.0,348.0,537.0,3609.0,19.0,10.0,6.3,175.0,426.0,1783.0,9.0,4.2,96.0,121.0,1041.0,34.0,36.3,8.8,-31.98,0,16.0,39.0,34.0,87.2,27.0,26.0,96.3,71.0,3303.0,0.0,46.5,0,16.0,9.0,19.0,2.0,0,1.0,0,0,31.0,1.0,4.0,26.0,27.0,34.0,39.0,0,316.0,19.8,0,16.0,211.0,79.0,37.4,19.0,9.0,47.4,46.0,18.0,39.1,0,16.0,171.0,1042.0,36.3,8.8,6.1,31.5,28.7,172,1.74
